"";"Focal";"Date";"Age.new";"Age.scale";"percentage.duration.groomed";"mean.party.size.scale";"Age.mother.round.scale";"rank.scale";"months.pregnant.scale";"Duration.static";"duration.groomed";"Group";"Sex";"family.member";"Group.centered";"Sex.centered";"family.member.centered"
"285";"NM15";"2022-12-12";32;-0,874598715086635;2,187474682006;-0,0809568755472673;-1,10107457755232;-0,619992076696548;-0,29358380298172;12343;270;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"286";"NM16";"2022-01-26";63;0,214806012896717;0;0,26511831763189;1,603319121699;0,895741162048144;-0,29358380298172;1988;0;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"287";"NM16";"2022-02-14";64;0,24994810089618;0;0,0920807210423114;1,603319121699;0,895741162048144;-0,29358380298172;3590;0;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"288";"NM16";"2022-02-16";64;0,24994810089618;5,71907802185911;0,26511831763189;1,603319121699;0,895741162048144;-0,29358380298172;18482;1057;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"289";"NM16";"2022-02-26";64;0,24994810089618;0;0,438155914221469;1,603319121699;0,895741162048144;-0,29358380298172;1472;0;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"290";"NM16";"2022-03-07";65;0,285090188895643;18,1321184510251;0,438155914221469;1,603319121699;0,895741162048144;-0,29358380298172;8780;1592;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"291";"NM16";"2022-03-18";65;0,285090188895643;7,41755553380957;0,0920807210423114;1,603319121699;0,895741162048144;-0,29358380298172;10219;758;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"292";"NM16";"2022-03-21";65;0,285090188895643;0;0,26511831763189;1,603319121699;0,895741162048144;-0,29358380298172;170;0;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"293";"NM16";"2022-03-22";65;0,285090188895643;1,41142727753038;0,26511831763189;1,603319121699;0,895741162048144;-0,29358380298172;13249;187;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"294";"NM16";"2022-06-05";68;0,390516452894032;0;-0,427032068726425;1,603319121699;0,895741162048144;-0,29358380298172;3677;0;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"295";"NM16";"2022-06-28";68;0,390516452894032;4,84039466047591;-0,946144858495161;1,603319121699;0,895741162048144;-0,29358380298172;8615;417;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"296";"NM16";"2022-07-04";69;0,425658540893495;0;-1,63829524485348;1,73853880666157;0,895741162048144;-0,29358380298172;19;0;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"297";"NM16";"2022-07-11";69;0,425658540893495;0;-0,773107261905582;1,73853880666157;0,895741162048144;-0,29358380298172;4444;0;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"298";"NM16";"2022-07-12";69;0,425658540893495;0;-0,427032068726425;1,73853880666157;0,706274507205057;-0,29358380298172;1485;0;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"299";"NM16";"2022-08-17";70;0,460800628892958;6,06115433327302;-1,11918245508474;1,73853880666157;0,706274507205057;-0,29358380298172;16581;1005;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
